Experiment;Runs;Death Costs;Avg. Cost;Avg. Deaths;Avg. Interventions
Layabout;0;-;27.1868;0;2.887
PreShielded;1500;-;23.6673;0;1.053
NoShield;1500;1000;25.6272;0;0
NoShield;1500;100;23.4673;0.00277;0
NoShield;1500;10;24.6556;0.19643;0
PostShielded;1500;1000;26.6625;0;0.745
PostShielded;1500;100;24.3789;0;0.937
PostShielded;1500;10;25.1286;0;2.065
PreShielded;3000;-;21.8368;0;0.622
NoShield;3000;1000;27.1164;0;0
NoShield;3000;100;23.2245;0;0
NoShield;3000;10;23.6792;0.00095;0
PostShielded;3000;1000;28.4163;0;1.002
PostShielded;3000;100;23.7505;0;0.893
PostShielded;3000;10;24.8988;0;0.795
PreShielded;6000;-;21.2761;0;1.135
NoShield;6000;1000;23.3839;0;0
NoShield;6000;100;21.5408;0.00204;0
NoShield;6000;10;20.4149;0.05013;0
PostShielded;6000;1000;23.8415;0;0.754
PostShielded;6000;100;21.845;0;1.109
PostShielded;6000;10;21.3923;0;0.99
PreShielded;12000;-;21.1579;0;1
NoShield;12000;1000;21.4817;0;0
NoShield;12000;100;20.7107;4e-05;0
NoShield;12000;10;20.4472;0.00302;0
PostShielded;12000;1000;21.8258;0;0.601
PostShielded;12000;100;21.4609;0;0.987
PostShielded;12000;10;21.632;0;1.04
Layabout;0;-;27.1141;0;2.836
PreShielded;1500;-;23.2504;0;1.244
NoShield;1500;1000;25.8567;0;0
NoShield;1500;100;24.3905;0.00953;0
NoShield;1500;10;19.8422;0.15084;0
PostShielded;1500;1000;27.0194;0;0.894
PostShielded;1500;100;25.1657;0;0.836
PostShielded;1500;10;20.9739;0;1.122
PreShielded;3000;-;21.124;0;1.035
NoShield;3000;1000;30.5452;0;0
NoShield;3000;100;25.585;0.00055;0
NoShield;3000;10;21.0095;0.00807;0
PostShielded;3000;1000;30.4614;0;0
PostShielded;3000;100;26.3681;0;0.845
PostShielded;3000;10;23.7827;0;1.41
PreShielded;6000;-;21.4361;0;0.742
NoShield;6000;1000;23.1349;0;0
NoShield;6000;100;20.9439;0.0005;0
NoShield;6000;10;20.1855;0.01313;0
PostShielded;6000;1000;23.0247;0;0.676
PostShielded;6000;100;22.0588;0;1.019
PostShielded;6000;10;21.327;0;1.017
PreShielded;12000;-;20.9629;0;0.804
NoShield;12000;1000;21.5414;0;0
NoShield;12000;100;21.2698;0;0
NoShield;12000;10;20.3021;0.01549;0
PostShielded;12000;1000;21.7411;0;0.715
PostShielded;12000;100;21.5503;0;0.865
PostShielded;12000;10;21.3986;0;0.986
Layabout;0;-;27.2081;0;2.87
PreShielded;1500;-;24.4429;0;0.978
NoShield;1500;1000;28.9245;0;0
NoShield;1500;100;23.2323;0;0
NoShield;1500;10;20.1678;0.07217;0
PostShielded;1500;1000;30.4538;0;1.084
PostShielded;1500;100;24.4208;0;0.824
PostShielded;1500;10;21.161;0;1.073
PreShielded;3000;-;21.4702;0;0.924
NoShield;3000;1000;26.7621;0;0
NoShield;3000;100;23.3501;7e-05;0
NoShield;3000;10;19.9956;0.11917;0
PostShielded;3000;1000;26.6379;0;0
PostShielded;3000;100;24.5814;0;0.789
PostShielded;3000;10;22.5169;0;1.238
PreShielded;6000;-;21.0585;0;0.684
NoShield;6000;1000;21.5584;0.00039;0
NoShield;6000;100;22.2593;4e-05;0
NoShield;6000;10;20.3141;0.02232;0
PostShielded;6000;1000;22.3037;0;0.781
PostShielded;6000;100;23.3943;0;0.782
PostShielded;6000;10;21.1939;0;1.046
PreShielded;12000;-;21.0913;0;0.682
NoShield;12000;1000;21.0133;6e-05;0
NoShield;12000;100;21.0104;6e-05;0
NoShield;12000;10;20.0166;0.0152;0
PostShielded;12000;1000;21.5975;0;0.974
PostShielded;12000;100;21.4441;0;0.83
PostShielded;12000;10;21.0026;0;1.073
Layabout;0;-;26.9967;0;2.837
PreShielded;1500;-;22.4189;0;1.275
NoShield;1500;1000;27.981;0;0
NoShield;1500;100;22.1682;0.00821;0
NoShield;1500;10;23.0572;2e-05;0
PostShielded;1500;1000;28.07;0;0
PostShielded;1500;100;23.8966;0;1.117
PostShielded;1500;10;24.0856;0;0.509
PreShielded;3000;-;21.5568;0;1.05
NoShield;3000;1000;22.947;0;0
NoShield;3000;100;23.1432;0;0
NoShield;3000;10;20.8707;0.00832;0
PostShielded;3000;1000;23.0976;0;0.451
PostShielded;3000;100;23.9134;0;0.802
PostShielded;3000;10;21.4;0;1.024
PreShielded;6000;-;22.0921;0;0.755
NoShield;6000;1000;22.5285;0;0
NoShield;6000;100;20.9289;0.00057;0
NoShield;6000;10;20.7432;0.00728;0
PostShielded;6000;1000;22.4927;0;0.478
PostShielded;6000;100;21.4075;0;0.969
PostShielded;6000;10;21.4591;0;1.113
PreShielded;12000;-;21.2285;0;0.82
NoShield;12000;1000;21.3852;0;0
NoShield;12000;100;21.1881;1e-05;0
NoShield;12000;10;20.3182;0.00268;0
PostShielded;12000;1000;21.8207;0;0.694
PostShielded;12000;100;21.405;0;0.938
PostShielded;12000;10;21.5048;0;1.016
Layabout;0;-;26.9173;0;2.896
PreShielded;1500;-;21.3587;0;1.085
NoShield;1500;1000;28.9942;0;0
NoShield;1500;100;24.9914;0;0
NoShield;1500;10;21.2673;0.06123;0
PostShielded;1500;1000;29.2637;0;0.125
PostShielded;1500;100;26.9537;0;0.905
PostShielded;1500;10;24.0101;0;1.508
PreShielded;3000;-;21.5562;0;0.697
NoShield;3000;1000;23.2564;0;0
NoShield;3000;100;23.2366;0.00019;0
NoShield;3000;10;20.6559;0.0438;0
PostShielded;3000;1000;25.243;0;1.118
PostShielded;3000;100;26.0617;0;0.927
PostShielded;3000;10;21.2922;0;1.074
PreShielded;6000;-;21.1585;0;0.504
NoShield;6000;1000;24.179;0;0
NoShield;6000;100;23.2017;0.00075;0
NoShield;6000;10;20.525;0.00781;0
PostShielded;6000;1000;25.2895;0;0.756
PostShielded;6000;100;23.6729;0;0.924
PostShielded;6000;10;21.1363;0;1.116
PreShielded;12000;-;21.4461;0;0.615
NoShield;12000;1000;22.2304;0;0
NoShield;12000;100;20.8758;0.00016;0
NoShield;12000;10;20.4118;0.01522;0
PostShielded;12000;1000;22.4543;0;0.622
PostShielded;12000;100;21.298;0;0.893
PostShielded;12000;10;21.3118;0;1.044
Layabout;0;-;27.0671;0;2.888
PreShielded;1500;-;21.6762;0;0.819
NoShield;1500;1000;26.6163;0;0
NoShield;1500;100;22.8777;5e-05;0
NoShield;1500;10;22.3832;0.23947;0
PostShielded;1500;1000;26.2856;0;0.985
PostShielded;1500;100;24.4619;0;0.66
PostShielded;1500;10;24.2597;0;1.686
PreShielded;3000;-;24.8427;0;1.174
NoShield;3000;1000;24.1897;0;0
NoShield;3000;100;23.3448;0.00013;0
NoShield;3000;10;21.4052;0.03344;0
PostShielded;3000;1000;24.4012;0;0.745
PostShielded;3000;100;23.6644;0;0.918
PostShielded;3000;10;21.9261;0;1.214
PreShielded;6000;-;22.0023;0;0.827
NoShield;6000;1000;22.6629;0;0
NoShield;6000;100;22.1648;0.00188;0
NoShield;6000;10;20.5743;0.0097;0
PostShielded;6000;1000;22.8665;0;0.667
PostShielded;6000;100;23.467;0;1.022
PostShielded;6000;10;21.6211;0;1.054
PreShielded;12000;-;21.2004;0;0.823
NoShield;12000;1000;22.8179;3e-05;0
NoShield;12000;100;20.7753;0.00013;0
NoShield;12000;10;20.0251;0.02568;0
PostShielded;12000;1000;23.1682;0;0.672
PostShielded;12000;100;21.3487;0;0.745
PostShielded;12000;10;21.1613;0;1.063
Layabout;0;-;26.8418;0;2.885
PreShielded;1500;-;24.4091;0;0.744
NoShield;1500;1000;27.5839;0;0
NoShield;1500;100;24.452;0.00039;0
NoShield;1500;10;22.43;0.05684;0
PostShielded;1500;1000;28.366;0;1.099
PostShielded;1500;100;25.9145;0;1.019
PostShielded;1500;10;24.4699;0;1.426
PreShielded;3000;-;21.1872;0;0.64
NoShield;3000;1000;25.5384;5e-05;0
NoShield;3000;100;23.3453;0;0
NoShield;3000;10;22.7172;0.0584;0
PostShielded;3000;1000;24.2242;0;1.251
PostShielded;3000;100;24.8349;0;0.817
PostShielded;3000;10;26.001;0;1.183
PreShielded;6000;-;21.9708;0;0.862
NoShield;6000;1000;23.922;0;0
NoShield;6000;100;22.845;0;0
NoShield;6000;10;20.0468;0.00393;0
PostShielded;6000;1000;24.7756;0;0.788
PostShielded;6000;100;23.5163;0;0.881
PostShielded;6000;10;21.7409;0;1.116
PreShielded;12000;-;21.1647;0;0.995
NoShield;12000;1000;22.0461;0;0
NoShield;12000;100;20.716;9e-05;0
NoShield;12000;10;20.4675;0.00712;0
PostShielded;12000;1000;22.1971;0;0.64
PostShielded;12000;100;21.2799;0;0.873
PostShielded;12000;10;21.9251;0;1.043
Layabout;0;-;27.1449;0;2.865
PreShielded;1500;-;21.4821;0;1.044
NoShield;1500;1000;23.8169;2e-05;0
NoShield;1500;100;27.5279;0;0
NoShield;1500;10;21.2659;0.15578;0
PostShielded;1500;1000;24.9004;0;0.901
PostShielded;1500;100;28.0169;0;1.219
PostShielded;1500;10;22.3237;0;1.133
PreShielded;3000;-;22.81;0;1.121
NoShield;3000;1000;22.3503;0;0
NoShield;3000;100;24.1463;0;0
NoShield;3000;10;20.8914;0.02265;0
PostShielded;3000;1000;23.5427;0;0.725
PostShielded;3000;100;25.044;0;0.675
PostShielded;3000;10;21.2307;0;1.134
PreShielded;6000;-;21.5338;0;0.707
NoShield;6000;1000;23.6086;0;0
NoShield;6000;100;22.7969;3e-05;0
NoShield;6000;10;20.9003;0.00658;0
PostShielded;6000;1000;24.9542;0;0.698
PostShielded;6000;100;23.7269;0;0.847
PostShielded;6000;10;22.0619;0;0.985
PreShielded;12000;-;21.11;0;0.707
NoShield;12000;1000;21.6736;0;0
NoShield;12000;100;21.1505;4e-05;0
NoShield;12000;10;20.4188;0.0028;0
PostShielded;12000;1000;22.0758;0;0.677
PostShielded;12000;100;21.6398;0;0.794
PostShielded;12000;10;21.4092;0;1.043
Layabout;0;-;27.1865;0;2.896
PreShielded;1500;-;21.3037;0;0.817
NoShield;1500;1000;23.991;0;0
NoShield;1500;100;27.8425;0;0
NoShield;1500;10;23.8187;0.12372;0
PostShielded;1500;1000;24.2861;0;0.851
PostShielded;1500;100;28.2652;0;1.029
PostShielded;1500;10;27.5113;0;1.641
PreShielded;3000;-;22.2025;0;1.052
NoShield;3000;1000;22.2623;7e-05;0
NoShield;3000;100;22.7082;0.0002;0
NoShield;3000;10;20.4076;0.02464;0
PostShielded;3000;1000;23.0941;0;0.771
PostShielded;3000;100;24.9922;0;1.283
PostShielded;3000;10;21.5199;0;0.765
PreShielded;6000;-;21.0281;0;0.732
NoShield;6000;1000;22.0228;0;0
NoShield;6000;100;21.4856;0.00214;0
NoShield;6000;10;20.5115;0.01153;0
PostShielded;6000;1000;22.2324;0;0.933
PostShielded;6000;100;23.3612;0;0.797
PostShielded;6000;10;21.2144;0;0.975
PreShielded;12000;-;21.3282;0;0.842
NoShield;12000;1000;21.4486;0.00017;0
NoShield;12000;100;21.5639;0;0
NoShield;12000;10;20.3989;0.0254;0
PostShielded;12000;1000;21.7199;0;0.926
PostShielded;12000;100;22.2302;0;0.782
PostShielded;12000;10;21.2249;0;1.024
Layabout;0;-;26.9845;0;2.886
PreShielded;1500;-;25.4877;0;0.785
NoShield;1500;1000;28.0954;0;0
NoShield;1500;100;27.0327;0.00026;0
NoShield;1500;10;21.221;0.03918;0
PostShielded;1500;1000;28.1462;0;1.316
PostShielded;1500;100;27.0446;0;0.942
PostShielded;1500;10;21.6294;0;0.913
PreShielded;3000;-;21.0678;0;0.687
NoShield;3000;1000;26.1302;0;0
NoShield;3000;100;23.8057;0.00209;0
NoShield;3000;10;20.2475;0.01227;0
PostShielded;3000;1000;27.2782;0;0.681
PostShielded;3000;100;24.2377;0;0.835
PostShielded;3000;10;21.9546;0;1.167
PreShielded;6000;-;21.3063;0;0.781
NoShield;6000;1000;22.0274;0;0
NoShield;6000;100;22.9068;0;0
NoShield;6000;10;20.8082;0.00071;0
PostShielded;6000;1000;22.5493;0;0.824
PostShielded;6000;100;23.6917;0;0.911
PostShielded;6000;10;21.7998;0;1.02
PreShielded;12000;-;21.0187;0;0.697
NoShield;12000;1000;21.3273;0;0
NoShield;12000;100;20.489;0.00029;0
NoShield;12000;10;20.1788;0.00036;0
PostShielded;12000;1000;22.0231;0;0.532
PostShielded;12000;100;21.8428;0;1.097
PostShielded;12000;10;21.1692;0;1.036
